roman_urdu,urdu
rone laga toh sab hairan ho gaye,رونے لگا تو سب حیران ہو گئے
rone ka dil kar raha tha,رونے کا دل کر رہا تھا
tum rona kyun shuru ho jate ho,تم رونا کیوں شروع ہو جاتے ہو
kisi ke samne rona mat,کسی کے سامنے رونا مت
rona aaya par roka khud ko,رونا آیا پر روکا خود کو
dil nahi lag raha,دل نہیں لگ رہا
dil kharab hai,دل خراب ہے
mera dil chahta hai,میرا دل چاہتا ہے
dil pe mat lo,دل پہ مت لو
dil se karo kaam,دل سے کرو کام
dil bhar aaya,دل بھر آیا
dil nahi kerta kuch,دل نہیں کرتا کچھ
dil toot gaya,دل ٹوٹ گیا
dil ko chain nahi,دل کو چین نہیں
dil ki baat karo,دل کی بات کرو
uska dil bahut acha hai,اس کا دل بہت اچھا ہے
dil ko sukoon mila,دل کو سکون ملا
iska dil dukhaya tune,اس کا دل دکھایا تم نے
dil mein rakho baat,دل میں رکھو بات
dil se maafi maango,دل سے معافی مانگو
dil nahi hai is mein,دل نہیں ہے اس میں
dil pe zor mat daalo,دل پہ زور مت ڈالو
jo dil kare karo,جو دل کرے کرو
dil bhar ke ro lo ek baar,دل بھر کے رو لو ایک بار
dil achi jagah pe hai uska,دل اچھی جگہ پہ ہے اس کا
ghar wale naraaz hain,گھر والے ناراض ہیں
ghar waali ne kaha,گھر والی نے کہا
ghar ka khaana,گھر کا کھانا
ghar ke kaam karo,گھر کے کام کرو
ghar mein jhagra ho gaya,گھر میں جھگڑا ہو گیا
ghar baith ke karo kaam,گھر بیٹھ کے کرو کام
ghar ka mahol theek nahi,گھر کا ماحول ٹھیک نہیں
ghar pe akele the,گھر پہ اکیلے تھے
ghar pe reh ke padhna,گھر پہ رہ کے پڑھنا
ghar ki yaad aa rahi hai,گھر کی یاد آ رہی ہے
ghar chhoda tab se,گھر چھوڑا تب سے
ghar mein khana pakao,گھر میں کھانا پکاؤ
ghar walon ko batao pehle,گھر والوں کو بتاؤ پہلے
ghar mein koi nahi tha,گھر میں کوئی نہیں تھا
apna ghar hota to alag baat thi,اپنا گھر ہوتا تو الگ بات تھی
kuch nahi hua,کچھ نہیں ہوا
kuch chahiye tha,کچھ چاہیے تھا
kuch bata do,کچھ بتا دو
kuch kha liya,کچھ کھا لیا
kuch acha hua,کچھ اچھا ہوا
kuch samjha nahi,کچھ سمجھا نہیں
kuch aur chahiye,کچھ اور چاہیے
kuch theek nahi lag raha,کچھ ٹھیک نہیں لگ رہا
kuch nahi pata tha,کچھ نہیں پتہ تھا
kuch to bolo,کچھ تو بولو
kuch der mein aata hun,کچھ دیر میں آتا ہوں
koi baat nahi,کوئی بات نہیں
koi nahi hai yahan,کوئی نہیں ہے یہاں
koi aa gaya,کوئی آ گیا
koi acha sa dhundo,کوئی اچھا سا ڈھونڈو
koi problem hai kya,کوئی پرابلم ہے کیا
koi nahi sunta,کوئی نہیں سنتا
koi pooch raha tha tumhe,کوئی پوچھ رہا تھا تمہیں
koi bata do yaar,کوئی بتا دو یار
koi zaroorat nahi iske liye,کوئی ضرورت نہیں اس کے لیے
abhi aa raha hun,ابھی آ رہا ہوں
abhi nahi,ابھی نہیں
abhi karo,ابھی کرو
abhi waqt nahi,ابھی وقت نہیں
abhi ghar hun,ابھی گھر ہوں
abhi soona tha,ابھی سونا تھا
abhi busy hun,ابھی بزی ہوں
abhi baat nahi kar sakta,ابھی بات نہیں کر سکتا
abhi thoda rukna padega,ابھی تھوڑا رکنا پڑے گا
abhi kya ho raha hai wahan,ابھی کیا ہو رہا ہے وہاں
abhi to aya tha,ابھی تو آیا تھا
abhi aao jaldi,ابھی آؤ جلدی
abhi bata do nahi to bhool jaoonga,ابھی بتا دو نہیں تو بھول جاؤں گا
abhi test hai kuch der mein,ابھی ٹیسٹ ہے کچھ دیر میں
abhi nahi kar sakta yaar,ابھی نہیں کر سکتا یار
yahan aa jao,یہاں آ جاؤ
main yahan hun,میں یہاں ہوں
yahan mat ruko,یہاں مت رکو
yahan kya ho raha hai,یہاں کیا ہو رہا ہے
yahan rakh do,یہاں رکھ دو
kab tak yahan ho,کب تک یہاں ہو
yahan bohot garmi hai,یہاں بہت گرمی ہے
yahan signal nahi aata,یہاں سگنل نہیں آتا
yahan paani nahi hai,یہاں پانی نہیں ہے
yahan koi nahi tha,یہاں کوئی نہیں تھا
wahan ja ke dekho,وہاں جا کے دیکھو
wahan kya tha,وہاں کیا تھا
wahan log bahut hain,وہاں لوگ بہت ہیں
wahan nahi jaoonga,وہاں نہیں جاؤں گا
wahan se aa gaye,وہاں سے آ گئے
wahan koi nahi tha,وہاں کوئی نہیں تھا
wahan bahut der lagegi,وہاں بہت دیر لگے گی
wahan theek se nahi tha kaam,وہاں ٹھیک سے نہیں تھا کام
nahi karna mujhe,نہیں کرنا مجھے
nahi aaunga main,نہیں آؤں گا میں
nahi pata mujhe,نہیں پتہ مجھے
nahi chahiye yeh,نہیں چاہیے یہ
nahi tha wahan,نہیں تھا وہاں
nahi hona chahiye tha,نہیں ہونا چاہیے تھا
nahi samjha tune,نہیں سمجھا تم نے
bilkul nahi,بالکل نہیں
nahi nahi,نہیں نہیں
haan ya nahi,ہاں یا نہیں
mat jao abhi,مت جاؤ ابھی
mat karo aisa,مت کرو ایسا
mat bolo yeh,مت بولو یہ
mat dekho wahan,مت دیکھو وہاں
mat roo,مت رو
mat uthao yeh,مت اٹھاؤ یہ
mat bhejo use,مت بھیجو اسے
mat socho itna,مت سوچو اتنا
raat ko aana,رات کو آنا
raat bahut ho gayi,رات بہت ہو گئی
raat mein mat niklo,رات میں مت نکلو
kal raat kya hua tha,کل رات کیا ہوا تھا
raat bhar jaag raha tha,رات بھر جاگ رہا تھا
raat ka khana kha liya,رات کا کھانا کھا لیا
raat gaye aa gaye,رات گئے آ گئے
is raat mujhe neend nahi aayi,اس رات مجھے نیند نہیں آئی
subah jaldi uthna tha,صبح جلدی اٹھنا تھا
subah uth nahi saka,صبح اٹھ نہیں سکا
subah se bhookha hun,صبح سے بھوکا ہوں
subah ki chai pee lo,صبح کی چائے پی لو
subah subah shuru ho gaya,صبح صبح شروع ہو گیا
subah kisi ne call kiya tha,صبح کسی نے کال کیا تھا
shaam ko aana,شام کو آنا
shaam ho gayi bahar abhi tak,شام ہو گئی باہر ابھی تک
shaam ko milte hain,شام کو ملتے ہیں
yeh shaam alag thi,یہ شام الگ تھی
shaam tak aa jao,شام تک آ جاؤ
shaam ki chai meri pasandida hai,شام کی چائے میری پسندیدہ ہے
pyar karta hun tujhse,پیار کرتا ہوں تجھ سے
bahut pyar hai mujhe tumse,بہت پیار ہے مجھے تم سے
pyar se bolo,پیار سے بولو
pyar nahi raha ab,پیار نہیں رہا اب
yeh pyar wala rishtaa hai,یہ پیار والا رشتہ ہے
apne bachon se pyar karo,اپنے بچوں سے پیار کرو
pyar mein andha ho jaata hai insaan,پیار میں اندھا ہو جاتا ہے انسان
pyar se kaam nikalta hai,پیار سے کام نکلتا ہے
usse bahut pyar hai mujhe,اسے بہت پیار ہے مجھے
pyar ek baar hota hai,پیار ایک بار ہوتا ہے
mohabbat karna aasan nahi,محبت کرنا آسان نہیں
uski mohabbat sachchi thi,اس کی محبت سچی تھی
mohabbat mein dhoka mila,محبت میں دھوکہ ملا
mohabbat aur pyar mein farq hota hai,محبت اور پیار میں فرق ہوتا ہے
sachchi mohabbat to woh thi,سچی محبت تو وہ تھی
paisa nahi hai,پیسہ نہیں ہے
paise khatam ho gaye,پیسے ختم ہو گئے
paise de do,پیسے دے دو
paise wapas karo,پیسے واپس کرو
paise mang rahe ho kya,پیسے مانگ رہے ہو کیا
itne paise kahan se aye,اتنے پیسے کہاں سے آئے
paise nahi hain abhi,پیسے نہیں ہیں ابھی
paise save karo,پیسے سیو کرو
paise waste mat karo,پیسے ضائع مت کرو
paise se sab kuch nahi milta,پیسے سے سب کچھ نہیں ملتا
thode paise ude,تھوڑے پیسے اڑے
paise ki zaroorat thi,پیسے کی ضرورت تھی
paise se zyada waqt zaroori hai,پیسے سے زیادہ وقت ضروری ہے
paise kahan rakh liye tune,پیسے کہاں رکھ لیے تم نے
ghar ka kiraaya dena hai paise,گھر کا کرایہ دینا ہے پیسے
waqt nahi hai,وقت نہیں ہے
waqt se aao,وقت سے آؤ
waqt barbad mat karo,وقت برباد مت کرو
bahut waqt ho gaya,بہت وقت ہو گیا
waqt mile to aana,وقت ملے تو آنا
waqt kitna bura tha,وقت کتنا برا تھا
waqt ke saath sab theek ho jata hai,وقت کے ساتھ سب ٹھیک ہو جاتا ہے
waqt ki baat hai,وقت کی بات ہے
kuch waqt do mujhe,کچھ وقت دو مجھے
waqt nahi tha uss waqt,وقت نہیں تھا اس وقت
time nahi hai abhi,ٹائم نہیں ہے ابھی
time se aa jao,ٹائم سے آ جاؤ
kitna time lagega,کتنا ٹائم لگے گا
time waste mat karo,ٹائم ویسٹ مت کرو
time nahi tha yaar,ٹائم نہیں تھا یار
time mil gaya to aata hun,ٹائم مل گیا تو آتا ہوں
part time kaam karta hun,پارٹ ٹائم کام کرتا ہوں
time pe pohanch gaye,ٹائم پہ پہنچ گئے
kaam karo,کام کرو
kaam nahi hua,کام نہیں ہوا
kaam chal raha hai,کام چل رہا ہے
kaam ho gaya,کام ہو گیا
kaam se aa raha hun,کام سے آ رہا ہوں
bahut kaam hai aaj,بہت کام ہے آج
kaam wala banda hai,کام والا بندہ ہے
kaam pe dhyan do,کام پہ دھیان دو
kaam khatam ho gaya,کام ختم ہو گیا
achha kaam kiya,اچھا کام کیا
kaam pe nahi gaya aaj,کام پہ نہیں گیا آج
kaam seekhna chahiye,کام سیکھنا چاہیے
kam khao zyada mat khao,کم کھاؤ زیادہ مت کھاؤ
kam so rahe ho yaar,کم سو رہے ہو یار
paise kam hain,پیسے کم ہیں
kam se kam itna to karo,کم سے کم اتنا تو کرو
kam bolo zyada suno,کم بولو زیادہ سنو
uski salary kam hai,اس کی تنخواہ کم ہے
kam log aaye the,کم لوگ آئے تھے
kam umar mein bahut kuch seekha,کم عمر میں بہت کچھ سیکھا
baat karo mujhse,بات کرو مجھ سے
kya baat hai,کیا بات ہے
baat sunlo,بات سن لو
baat mat karo isse,بات مت کرو اس سے
baat nahi karni mujhe,بات نہیں کرنی مجھے
teri baat sahi hai,تیری بات سہی ہے
yeh baat sach nahi,یہ بات سچ نہیں
koi baat nahi yaar,کوئی بات نہیں یار
baat poori karo pehle,بات پوری کرو پہلے
teri baat sun raha hun,تیری بات سن رہا ہوں
baat seedhi karo,بات سیدھی کرو
baat alag hai,بات الگ ہے
iss baat se mujhe gussa aata hai,اس بات سے مجھے غصہ آتا ہے
pehle baat sunni chahiye thi,پہلے بات سننی چاہیے تھی
baat khatam karo ab,بات ختم کرو اب
yeh baat dil pe lag gayi,یہ بات دل پہ لگ گئی
baat itni badi nahi thi,بات اتنی بڑی نہیں تھی
baat wahan tak pahonch gayi,بات وہاں تک پہنچ گئی
yeh zindagi hai,یہ زندگی ہے
zindagi mein aisa hota hai,زندگی میں ایسا ہوتا ہے
zindagi bhar yaad rahega,زندگی بھر یاد رہے گا
zindagi barbad ho gayi,زندگی برباد ہو گئی
zindagi bahut mushkil ho gayi hai,زندگی بہت مشکل ہو گئی ہے
zindagi mein aage badhna hai,زندگی میں آگے بڑھنا ہے
meri zindagi mein woh bahut zaroori hai,میری زندگی میں وہ بہت ضروری ہے
zindagi chhoti hai mat gawao,زندگی چھوٹی ہے مت گواؤ
apni life theek karo pehle,اپنی لائف ٹھیک کرو پہلے
life mein ek hi baar hota hai,لائف میں ایک ہی بار ہوتا ہے
life bahut short hai yaar,لائف بہت شورٹ ہے یار
personal life mein mat ghuso,پرسنل لائف میں مت گھسو
life pe mat lo itna,لائف پہ مت لو اتنا
life se pyar karo,لائف سے پیار کرو
ab oil main kati hoi payaz daal kar light brown karain phir lehson adrak paste shamil kar dain.,اب آئل میں کٹی ہوئی پیاز ڈال کر لائٹ براﺅن کریں پھر لہسن ادرک پیسٹ شامل کر دیں
is lye kety hain dosro ko apni personal life me bilkul involve nahi krna chahiye,اس لئے کہتے ہیں دوسروں کو اپنی پرنسل لائف میں بالکل انوالو نہیں کرنا چاہئے
on k sath jo kuch merzi log ker lay os ka jawab bilkul nahi day sekty,ان کے ساتھ جو کچھ مرضی لوگ کر لیں اس کے جواب بالکل نہیں دے سکتے
yahi to mai unse b keh ra tha,یہی تو میں ان سے بھی کہہ رہا تھا
dil tor saktay hain asool nhi,دل توڑ سکتے ہیں اصول نہیں
ami nay kaha ainda short khelo gey. Os becharay nay kaha nahin khelon ga ainda short.,امی نے کہا آئندہ شارٹ کھیلو گے۔ اس بیچارے نے کہا نہیں کھیلوں گا آئندہ شارٹ
"aisa lagta hia k main hawaon mian hoon, aaj itni khushi mili",ایسا لگتا ہے کہ میں ہواﺅں میں ہوں، آج اتنی خوشی ملی
Jaisa ke sub ne dekha is team main kuch dum nazar aya sub ne achi performance di,جیسا کہ سب نے دیکھا اس ٹیم میں کچھ دم نظر آیا سب نے اچھی پرفارمنس دی
woh ya to badtameez ho jate hain ya phir sehmay hoe rehte hain,وہ یا تو بدتمیز ہو جاتے ہیں یا پھر سہمے ہوئے رہتے ہیں
sirf shaklen pyari nhi baten bhi achi honi chahye,صرف شکلیں پیاری نہیں باتیں بھی اچھی ہونی چاہئے
Iphone 5 sell kerna hy 40000 ka sirf 2 month use kea hy,آئی فون 5 سیل کرنا ہے 40000 کا صرف دو منتھ یوز کیا ہے
ap ne agar apne mobile pr security code active kia hua hoga to connect nhi hoga,آپ نے اگر اپنے موبائل پر سیکیوریٹی کوڈ ایکٹیو کیا ہوا ہوگا تو کنیکٹ نہیں ہوگا
ghar main pursa kerne wale bhare hue hain or ghar wale koi bhi wahan ahi hain sub apne masle le ker ro rahe hain,گھر میں پرسہ کرنے والے بھرے ہوئے ہیں اور گھر والے کوئی بھی وہاں آئے ہیں سب اپنے مسئلے لے کر رو رہے ہیں
pesa honay k matlb ye nai hota k wo har kisi ko own kertay hain,پیسہ ہونے کا مطلب یہ نہیں ہوتا کہ وہ ہر کسی کو اون کرتے ہیں
naukar apne aap ko ghar ka maalik samajhne laga hai,نوکر اپنے آپ کو گھر کا مالک سمجھنے لگا ہے
apne aapko har cheez main involve na karein,اپنے آپ کو ہر چیز میں انوالو نہ کریں
job chornay ki ghalti bilkul mat karna CHAHAY KUCH bhi hojaaye,جاب چھوڑنے کی غلطی بالکل مت کرنا چاہے کچھ بھی ہوجائے
Jab tak himmat rahi wo wheel chair par bhi apni sargarmiyon mein lage rahe.,جب تک ہمت رہی وہ ویل چیئر پر بھی اپنی سرگرمیوں میں لگے رہے
is ko bohat pasand kartay hain,اس کو بہت پسند کرتے ہیں
agar apk engine mein weight ki awaz hai to wo to engine khul k hi set hota hia han ap machenic ko check karwa do,اگر آپ کے انجن میں ویٹ کی آواز ہے تو وہ تو انجن کھول کے ہی سیٹ ہوتا ہے ہاں آپ مکینک کو چیک کروا دو
mujhe is ki story ki koi samjh nahi aa rhi phir bhi main sb sy zaida is drama sy enterain hoti hon,مجھے اس کی اسٹوری کی کوئی سمجھ نہیں آ رہی پھر بھی میں سب سے زیادہ اس ڈرامے سے انٹرٹین ہوتی ہوں
Jo log dard ko samjte hy wo kabi b dard ki waja nhi bante,جو لوگ درد کو سمجھتے ہیں وہ کبھی بھی درد کی وجہ نہیں بنتے
Jhoot ek aisa juta hai jo har baar jhoot bolne waly k sar per hi parta hai,جھوٹ ایک ایسا جوتا ہے جو ہر بار جھوٹ بولنے والے کے سر پر ہی پڑتا ہے
kaisa drama hai dekha tum ne,کیسا ڈراما ہے دیکھا تم نے
yehi herkatain thin udar k muslims ki jo unko zawaal aya,یہ حرکتیں تھیں ادھر کے مسلمز کی جو ان کو زوال آیا
police station chor k ati na apne bete ko,پولیس اسٹیشن چھوڑ کر آتی نا اپنے بیٹے کو
main ney b dekha ha k aap bari bareek beeni se her dramay ka tabsara kerti hain,میں نے بھی دیکھا ہے کہ آپ بڑی باریک بینی سے ہر ڈرامے کا تبصرہ کرتی ہیں
aur akhirat mai aapka hashar bhi is madari kai sath he hoo,اور آخرت میں آپ کا حشر بھی اس مداری کے ساتھ ہی ہو
ye sab shaitani kam hein or phir shareef larkyan larkay bhi is ro mein chal parte hein,یہ سب شیطانی کام ہیں اور پھر شریف لڑکیاں لڑکے بھی اس رو میں چل پڑتے ہیں
neend aa nahi rahi thi,نیند آ نہیں رہی تھی
kya aap ne kabhi apny ird gird esee hwateen dekheen,کیا آپ نے کبھی اپنی اررگرد ایسی خواتین دیکھیں
aik hi mozu ko bht kheench rhy hein,ایک ہی موضوع کو بہت کھینچ رہی ہیں
kyun k mujhe wo nahi acha lagta mujhe dosra larka acha lagata hai,کیوں کہ مجھے وہ نہیں اچھا لکھتا مجھے دوسرا لڑکا اچھا لگتا ہے
kia tm marai sath dosthi karogi,کیا تم میرے ساتھ دوستی کروگی
mujhe to yeh samajh nahi aa raha kay jab yeh itnay paisay walay hain to aik appartment rent ker kay qudsia ko kiyoon nahi dai daitay,مجھے تو یہی سمجھ نہیں آرہا کہ جب یہ اتنے پیسے والے ہیں تو ایک اپارٹمنٹ رینٹ کر کے قدسیہ کو کیوں نہیں دے دیتے
kafi hadd tak hr chez ab ult hi hai,کافی حد تک ہر چیز اب الٹ ہی ہے
acha vesay mera khyal tha k aap ko bht experience hay,اچھا ویسے میرا خیال تھا کہ آپ کو بہت ایکسپیرینس ہے
wah bhai wah aj pta chala ke sb bablu ko kitna chahte hen,واہ بھائی واہ آج پتا چلا کہ سب ببلو کو کتنا چاہتے ہیں
takay hum bhi dekhen kay aap kiya gul khilatay hain,تاکہ ہم بھی دیکھیں کہ آپ کیا گل کھیلاتے ہیں
paisa kitni ajeeb cheez ha jo rishton ko b bhula deta ha,پیسہ کتنی عجیب چیز ہے جو رشتوں کو بھی بھولا دیتا ہے
agr bkwas lgta hai to dakhte kun ho koe majbur kr raha ha,اگر بکواس لگتا ہے تو دیکھتے کیوں ہو کوئی مجبور کر رہا ہے
ur ap nay jo hadees beyan ke h es may on logon k leyay msg h k takkabur kertay h roz e mehsher on logon ko es terha saza de jaey ghe,اور آپ نے جو حدیث بیان کی ہے اس میں ان لوگوں کے لئے میسج ہے کہ تکبر کرتے ہی روز محشر ان لوگوں کو اس طرح سزا دی جائے گی
itni jaldi gussa ok sorry,اتنی جلدی غصہ کیوں سوری
mera to dil hi hill gaya,میرا تو دل ہی ہل گیا
izat hr insan ko chahye hoti hai mgr kuch ka tareeka iritating hota hi,عزت ہر انسان کو چاہئے ہوتی ہے مگر کچھ کا طریقہ ارریٹیٹنگ ہوتا ہے
such hai ishq may insan ki aqal kam karna band kar daity hai,سچ ہے عشق میں انسان کی عقل کام کرنا بند کر دیتی ہے
meri taraf se sab ko bht bht eid mubarik,میری طرف سے سب کو بہت بہت عید مبارک
ab ap bina haddi wala kabab khayen aur y keren,اب آپ بینا ہڈی والا کباب کھائیں اور مزے کریں
aik bili 30 fut gehre kuen main gir gai hai woh 3 step uper jump kerti hai to 2 step piche a jati hai ab batao k bili kitne dino main bahir nikle gi,ایک بلی تیس بٹ گہرے کنویں میں گر گئی ہے وہ تین سٹیپ اوپر جمپ کرتی ہے تو دو سٹیپ پیچھے آ جاتی ہے اب بتاﺅ کہ بلی کتنے دنوں میں باہر نکلے گی
real mein kash asa hota,ریئل میں کاش ایسا ہوتا
falak ko phuphi se koi sabaq nahi mila,فلک کو پھوپھی سے کوئی سبق نہیں ملا
bivion ko apnay shoron pur shak nahi kurna chahiye woh bhi apnay chanay waly,بیویوں کو اپنے شوہروں پر شک نہیں کرنا چاہئے وہ بھی اپنے چاہنے والے
kuch nahi hota wo sb jataty hain aur hum sb ki batein bhi read kartay hain is sy acha hay k hum sb un sy achai tarha dosti kar lo,کچھ نہیں ہوتا وہ سب جتاتے ہیں اور ہم سب کی باتیں بھی ریڈ کرتے ہیں اس سے اچھا ہے کہ ہم سب ان سے اچھی طرح دوستی کر لو
buhtan lagana eik bht bara gunah hay,بہتان لگانا ایک بہت بڑا گناہ ہے
nahi meray khayaal sai aisa nahi dikha rahy yeh is ka cousin bhi to hai,نہیں میرے خیال سے ایسا نہیں دکھا رہے یہ اس کا کزن بھی تو ہے
lekin yeh bat b thik hai k judges ko uski itni insult nhi karni chahiye thi,لیکن یہ بات بھی ٹھیک ہے کہ ججز کو ان کی اتنی انسلٹ نہیں کرنی چاہئے تھی
maza hi khrab ho gya yar iss ka to,مزہ ہی خراب ہو گیا یار اس کا تو
no sir main ne to bs ap k pyare se coment ka reply kia,نو سر میں نے تو بس آپ کے پیارے سے کومینٹ کا رپلائے کیا
ye jo inhon ne itna pesa faltu kharch kia wo agar kisi ghareeb 3 larkion ki shadi kardete to inko duaen aur sawab milta aur allah bhi khush hota ye sab faltu ka dikhawa aur kharch karke inhen kia mila,یہ جو انہوں نے اتنا پیسا فالتو خرچ کیا وہ اگر کسی غریب تین لڑکیوں کی شادی کردیتے تو ان کو دعائیں اور ثواب ملتا اور اللہ بھی خوش ہوتا یہ سب فالتو کا دکھاوا اور خرچ کر کے انہیں کیا ملا
allah pak ka bra kram ha k aj tak to main fail ni howa uf agy b ya hi umeed ha,اللہ پاک کا بڑا کرم ہے کہ آپ تک تو میں فیل نہیں ہوا اف آگے بھی یہ ہی امید ہے
acha bhala sweet larka hai,اچھا بھلا سویٹ لڑکا ہے
asy doston sa tu dooshman bhaly,ایسے دوستو سے تو دشمن بھلے
lakin mai aapki baat pai amal karunga kal se keyounkai abi to raat hai masjid nahi jaa sakta,لیکن میں آپ کی بات پہ عمل کروں گا کل سے کیونکہ ابھی تو رات ہے مسجد نہیں جا سکتا
apas mai acha tareeqa se baat kerian koi aisi baat na kerain jo kisi ko b buri lagee ok laraai nai kerni yahan bhai jaan,آپس میں اچھے طریقے سے بات کریں کوئی ایسی بات نہ کریں جو کسی کو بھی بری لگے اوکے لڑائی نہیں کرنی یہاں بھائی جان
aap pareshan na hoo dua karain allah hidayat de,آپ پریشان نہ ہوں دعا کریں اللہ ہدایت دے
allah tala janey kyun esay logon ko olad day deta hai sharif or tabedar olad nemat hoti hai,اللہ تعالیٰ جانے کیوں ایسے لوگوں کو اولاد دے دیتا ہے شریف اور تابعدار اولاد نعمت ہوتی ہے
agar aisa nai karsakthy toh phir enthazar k soli pa charh jao,اگر ایسا نہیں کرسکتے تو پھر انتظار کی سولی پر چڑھ جاﺅ
divorce se sirf eik ghar barbad nahi hota balkey bachoon k sari life bhi kharab hoti hai aur iss ka impact bachoon k future mai un k married life par bhi hota hai,ڈائیورس سے صرف ایک گھر برباد نہیں ہوتا بلکہ بچوں کی ساری لائف بھی خراب ہوتی ہے اور اس کا امپیکٹ بچوں کے فیوچر میں ان کے میریڈ لائف پر بھی ہوتا ہے
dono miyan biwi ko koi aur kaam nahin hai,دونوں میاں بیوی کو کوئی اور کام نہیں ہے
allah sb ke parents ko tb tk zindagi de jub tak ke un ki olad zinda he ameen,اللہ سب کے پیرینٹس کو تب تک زندگی دے جب تک کہ ان کی کوئی اولاد زندہ ہے امین
oh gari me to bari sarkar thi shaid,اور گھر میں تو بڑی سرکار تھی شاید
agree ap sahi kah rahe ho bhai,ایگری آپ صحیح کہہ رہے ہو بھائی
is mai ye samajh nahi aa raha tha k log gift dil se de rahay thay ya rishwat de rahay thay,اس میں یہ سمجھ نہیں آ رہا تھا کہ لوگ گفٹ دل سے دے رہے تھے یا رشوت دے رہے تھے
kia ab bari sarkar ko nazar naheee a raha ha,کیا اب بڑی سرکار کو ناراض نہیں آ رہا ہے
yeh shaam phir nahi ayegee,یہ شام پھر نہیں آئے گی
hur koi aik doosrey ki batein sun kr apna apna meaning nikal raha hay,ہر کوئی ایک دوسرے کی باتیں سن کر اپنا اپنا مینینگ نکال رہا ہے
jabh banda aik dafa badnaam ho jaye phir chahe jesa bhi kaam kar le woh baat nahi rehti,جب بندہ ایک دفعہ بدنام ہو جائے پھر چاہے جیسا بھی کام کر لے وہ بات نہیں رہتی
khuda k liey quran ko tarjumay k sath parho takey tum logon ki ankhein khul jaein k kon sa dozakh apney liey ikatha ker rahay ho,خدا کے لئے قرآن کو ترجمے کے ساتھ پڑھو تاکہ تم لوگوں کی آنکھیں کھل جائیں کہ کون سا دوزخ اپنے لئے اختیار کر رہے ہو
wo pehly bhi ilzam ki zad me aa chuki hy usko door rehna chahye tha us sy,وہ پہلے بھی الزام کی زد میں آچکی ہے اس کو دور رہنا چاہئے تھا اس سے
os ny apki tareef kaisay ker de jb kay wo to kese k sath baat b nahi ker sekty,اس نے اپ کی تعریف کیسے کر دی جب کہ وہ تو کسی کے ساتھ بات بھی نہیں کر سکتی
waah aj to hi aa gaya par maira k baap par bohat ghussa b aya,واہ آج تو مزہ ہی آ گیا پر ماریہ کے باپ پر بہت غصہ بھی آیا
shaadi se bachnay kay liye heroin ka kiraaye ka ashiq hire kerna bohot purana ghisa pita idea hai jo bohot si movies main repeat ho chuka hai,شادی سے بچنے کے لئے ہیروین کیا کریں کہ عاشق ہایر کرنا بہت پرانا گھسا پٹا آئیڈیا ہے جو بہت سی موویز میں ریپیٹ ہو چکا ہے
humney kia larna hy judges khud hi larte ja rhy hain,ہم نے کیا لڑنا ہے ججز خود ہی لڑتے جا رہے ہیں
"yar aj tu bohat hi gusa a raha ha episode dekh kar, allah bachaye aise larkiyo say",یار آج تو بہت ہی غصہ آ رہا ہے ایپیسوڈ دیکھ کر اللہ بچائے ایسی لڑکیوں سے
shukar hai kay badtameez bhi hai yahan warna kiya hota,شکر ہے کہ بدتمیز بھائی ہے یہاں ورنہ کیا ہوتا
koi bunda izzt de de to apni limits bhool nahe jana chahye,کوئی بندہ عزت دے دے تو اپنی لمٹس بھول نہیں جانا چاہئے
billo ahista ahista babloo main interested hoti jaa rahi hai,بلو آہستہ آہستہ ببلو میں انٹرسٹیڈ ہوتی جا رہی ہے
her jagha rona dhona kay koi us per tars khaay,ہر جگ رونا دھونا کیا کوئی اس پر ترس کھائے
aulad tu sab ek se huti hai maa k liye,اولاد تو سب ایک سی ہوتی ہیں ماں کے لئے
uf bohot zulm hua bechari sania aur uss kay bachay rumi kay saath mujhay bohot taras aa raha tha rumi per,اف بہت ظلم ہوا بیچاری ثانیہ اور اس کے بچے رومی کے ساتھ مجھے بہت ترس آرہا تھا رومی پر
pata nhn pyaar ko log dard hi kyun samajhte shayad is lea k wo bewafa hote henn,پتا نہیں پیار کو لوگ درد ہی کیوں سمجھتے شاید اس لئے کہ وہ بے وفا ہوتے ہیں
aik baat mujhay ye samajh main nahi aati kay hamari middle class qom kyun shadiyon per itni fuzool kharchi kerti hai wo bhi udhaar le le ker,ایک بات مجھے یہ سمجھ میں نہیں آتی کہ ہماری مڈل کلاس قوم کیوں شادیوں پر اتنی فضول خرچی کرتی ہے  وہ بھی ادھار لے لے کر
pakistani dramon ka jo aik kaas muhazab aur khubsurat andaz hua karta tha wo ab na hi iss drama mein aur na hii kisi aur program mein nazar ati hai,پاکستانی ڈراموں کا جو ایک خاص مہذیب اور خوبصورت انداز ہوا کرتا تھا وہ اب نہ ہی اس ڈرامے میں اور نہ ہی کسی اور پروگرام میں نظر آتا ہے
samee per meherbani bhi osi silsilay ke aik kari lag rahi ha,سمیع پر مہربانی بھی اسی سلسلے کی ایک کڑی لگ رہی ہے
pta nai dosron k character py kichar uchal k logo ko kia milta ha,پتا نہیں دوسروں کے کریکٹر پہ کیچڑ اچھال کے لوگوں کو کیا ملتا ہے
acha waise es drama ko dekhne k baad sb us larke k pechee pr gayee hain k wo jua khelta he,اچھا ویسے اس ڈرامے کو دیکھنے کے بعد سب اس لڑکے کے پیچھے پڑ گئے ہیں کہ وہ جوا کھیلتا ہے
